method,fpr,tpr,auc
Isolation Forest,0.05144149236856981,0.8272583201267829,0.9709873960684047
Isolation Forest,0.05257207461842849,0.8272583201267829,0.9709873960684047
Isolation Forest,0.05257207461842849,0.8415213946117274,0.9709873960684047
Isolation Forest,0.05313736574335783,0.8415213946117274,0.9709873960684047
Isolation Forest,0.05313736574335783,0.8446909667194928,0.9709873960684047
Isolation Forest,0.053702656868287166,0.8446909667194928,0.9709873960684047
Isolation Forest,0.053702656868287166,0.8605388272583201,0.9709873960684047
Isolation Forest,0.054267947993216506,0.8605388272583201,0.9709873960684047
Isolation Forest,0.054267947993216506,0.8621236133122029,0.9709873960684047
Isolation Forest,0.054833239118145846,0.8621236133122029,0.9709873960684047
Isolation Forest,0.054833239118145846,0.8700475435816165,0.9709873960684047
Isolation Forest,0.055398530243075186,0.8700475435816165,0.9709873960684047
Isolation Forest,0.055398530243075186,0.873217115689382,0.9709873960684047
Isolation Forest,0.05596382136800452,0.873217115689382,0.9709873960684047
Isolation Forest,0.05596382136800452,0.8938193343898574,0.9709873960684047
Isolation Forest,0.05596382136800452,0.8969889064976229,0.9709873960684047
Isolation Forest,0.05596382136800452,0.9064976228209192,0.9709873960684047
Isolation Forest,0.05652911249293386,0.9064976228209192,0.9709873960684047
Isolation Forest,0.05652911249293386,0.9080824088748018,0.9709873960684047
Isolation Forest,0.0570944036178632,0.9080824088748018,0.9709873960684047
Isolation Forest,0.0570944036178632,0.9160063391442155,0.9709873960684047
Isolation Forest,0.05765969474279254,0.9160063391442155,0.9709873960684047
Isolation Forest,0.05765969474279254,0.919175911251981,0.9709873960684047
Isolation Forest,0.05822498586772187,0.919175911251981,0.9709873960684047
Isolation Forest,0.05822498586772187,0.9255150554675119,0.9709873960684047
Isolation Forest,0.058790276992651214,0.9255150554675119,0.9709873960684047
Isolation Forest,0.058790276992651214,0.9334389857369255,0.9709873960684047
Isolation Forest,0.059355568117580554,0.9334389857369255,0.9709873960684047
Isolation Forest,0.059355568117580554,0.936608557844691,0.9709873960684047
Isolation Forest,0.059920859242509894,0.936608557844691,0.9709873960684047
Isolation Forest,0.059920859242509894,0.9477020602218701,0.9709873960684047
Isolation Forest,0.060486150367439234,0.9477020602218701,0.9709873960684047
Isolation Forest,0.060486150367439234,0.9508716323296355,0.9709873960684047
Isolation Forest,0.06387789711701526,0.9508716323296355,0.9709873960684047
Isolation Forest,0.06387789711701526,0.9556259904912837,0.9709873960684047
Isolation Forest,0.0644431882419446,0.9556259904912837,0.9709873960684047
Isolation Forest,0.0644431882419446,0.9603803486529319,0.9709873960684047
Isolation Forest,0.06500847936687394,0.9603803486529319,0.9709873960684047
Isolation Forest,0.06500847936687394,0.9619651347068146,0.9709873960684047
Isolation Forest,0.06670435274166196,0.9619651347068146,0.9709873960684047
Isolation Forest,0.06670435274166196,0.9667194928684627,0.9709873960684047
Isolation Forest,0.06726964386659129,0.9667194928684627,0.9709873960684047
Isolation Forest,0.06726964386659129,0.971473851030111,0.9709873960684047
Isolation Forest,0.06783493499152063,0.971473851030111,0.9709873960684047
Isolation Forest,0.06783493499152063,0.9762282091917591,0.9709873960684047
Isolation Forest,0.06840022611644997,0.9762282091917591,0.9709873960684047
Isolation Forest,0.06840022611644997,0.9778129952456418,0.9709873960684047
Isolation Forest,0.06896551724137931,0.9778129952456418,0.9709873960684047
Isolation Forest,0.06896551724137931,0.9793977812995246,0.9709873960684047
Isolation Forest,0.07009609949123799,0.9793977812995246,0.9709873960684047
Isolation Forest,0.07009609949123799,0.9841521394611727,0.9709873960684047
Isolation Forest,0.071791972866026,0.9841521394611727,0.9709873960684047
Isolation Forest,0.071791972866026,0.9857369255150554,0.9709873960684047
Isolation Forest,0.07292255511588468,0.9857369255150554,0.9709873960684047
Isolation Forest,0.07292255511588468,0.9873217115689382,0.9709873960684047
Isolation Forest,0.07687959299039004,0.9873217115689382,0.9709873960684047
Isolation Forest,0.07687959299039004,0.9889064976228209,0.9709873960684047
Isolation Forest,0.08083663086489543,0.9889064976228209,0.9709873960684047
Isolation Forest,0.08083663086489543,0.9904912836767037,0.9709873960684047
Isolation Forest,0.08875070661390616,0.9904912836767037,0.9709873960684047
Isolation Forest,0.08875070661390616,0.9920760697305864,0.9709873960684047
Isolation Forest,0.16902204635387225,0.9920760697305864,0.9709873960684047
Isolation Forest,0.16902204635387225,0.993660855784469,0.9709873960684047
Isolation Forest,0.1695873374788016,0.993660855784469,0.9709873960684047
Isolation Forest,0.1695873374788016,0.9952456418383518,0.9709873960684047
Isolation Forest,0.2769926512153759,0.9952456418383518,0.9709873960684047
