seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z
124,11040,368535302.3868444,101413168.7358141,24,2186.4430480264446,555.4190940796489,52.544153663192404,-5927.5960532426425,648,False,time expired without intercept,24,-127761841.15502039,67742717.73596354,29377960.91832592,-15.48866217986651,-23.691203743453467,-10.267196114957809
125,11040,369314525.66056764,101413724.53634107,23,2189.6929579929288,554.7998212873485,52.57339591571187,-5514.797990928398,575,False,time expired without intercept,23,-127762393.4933832,67742184.35312228,29378189.295733076,-15.484817756684341,-23.69949493484268,-10.273001034565699
126,11040,370580702.6651951,101414018.3758217,23,2204.2756118729385,548.0426895906967,52.72735014531546,-4690.425273788854,651,False,time expired without intercept,23,-127761749.27115609,67742891.09028323,29378819.31833786,-15.478300439899934,-23.70202202577518,-10.267336705514714
127,11040,369984406.1246211,101413602.74341765,23,2196.358407764239,556.2708124268174,52.70339667549827,-5496.5331794022,523,False,time expired without intercept,23,-127762168.8552718,67742404.33056977,29378353.183510188,-15.485152978124187,-23.70384512522396,-10.262191313640706
128,11040,369548123.972732,101414038.47904386,23,2194.5370264318976,556.3547689692787,52.60212262744467,-5276.4387927851485,577,False,time expired without intercept,23,-127761680.36889862,67742459.60502723,29378033.980050422,-15.479926274387834,-23.687623337679344,-10.271650322358939
129,11040,369018786.72568595,101413728.10574113,23,2199.166798646441,546.6174398751432,52.63342282844239,-5477.947753215828,739,False,time expired without intercept,23,-127761756.12532796,67742432.99003065,29378154.97721262,-15.483971916711127,-23.692268400554738,-10.272154251667283
130,11040,370126751.2285785,101413753.17048413,23,2197.736530735966,549.87449415418,52.709413875717544,-4948.998158349555,681,False,time expired without intercept,23,-127761707.26970686,67743098.80199598,29378052.06998498,-15.481677517417221,-23.694950267897624,-10.263145569089854
131,11040,368229004.5226118,101413207.05134974,23,2197.216825069206,548.2735335223351,52.635614253486764,-5831.429580118912,709,False,time expired without intercept,23,-127761783.52994509,67743174.3211821,29378086.462573618,-15.484850763165463,-23.685355485631998,-10.265523827553427
132,11040,369685019.24276644,101413995.67567073,24,2202.4304411707994,547.7366485548437,52.66914017146688,-5370.976691615037,690,False,time expired without intercept,24,-127761697.22112975,67742918.04810873,29377822.29239453,-15.48355773819617,-23.68962307847821,-10.27660167829533
133,11040,370061313.4364278,101412978.10647559,24,2195.1195399379058,546.9865867525909,52.596344177167815,-5045.92400391064,768,False,time expired without intercept,24,-127762115.83705005,67742886.64441268,29377962.371199936,-15.488883344765645,-23.68798433442441,-10.266292144552828
134,11040,368992079.1797664,101414147.93263757,23,2196.293443908583,550.7798085913578,52.66461115897116,-5713.664292453344,635,False,time expired without intercept,23,-127761501.57257949,67742852.20525984,29378342.48304407,-15.4849304217238,-23.698025709749373,-10.275172038597445
135,11040,368518500.89001423,101413064.89300138,24,2188.897674816436,555.3262030749597,52.52558733604708,-5749.502458836141,654,False,time expired without intercept,24,-127761683.59980138,67742953.45476893,29378195.066131983,-15.489198266971473,-23.681683136167234,-10.274981584908444
136,11040,368814648.5858914,101414689.32079467,23,2187.309551331524,553.1647956712477,52.581438682813534,-5501.432442761123,665,False,time expired without intercept,23,-127761756.1955518,67742465.88201489,29378589.93657336,-15.474861062588232,-23.691047877326614,-10.270918752151399
137,11040,369579256.6836624,101414328.21701291,23,2197.9144377786392,550.2062122656962,52.60458625236743,-5568.859034760806,652,False,time expired without intercept,23,-127761975.96896209,67742679.31004144,29378081.84726481,-15.48270354787405,-23.698113112895786,-10.275275513078535
138,11040,368096000.712121,101413252.43236187,23,2187.690740809766,557.4312152595985,52.504508442064825,-6175.404041152414,605,False,time expired without intercept,23,-127762183.82802168,67742702.27654915,29377897.120330445,-15.488096586398774,-23.70196186027061,-10.265688896430769
139,11040,368598552.12751234,101413669.9633348,23,2207.341114048414,538.8332286946647,52.5478813324337,-5618.007331104783,956,False,time expired without intercept,23,-127761984.07531169,67742483.44520904,29378171.85497647,-15.487426996291612,-23.692986419462763,-10.265161490950332
140,11040,366964306.83032286,101414826.7292061,22,2190.6460463439453,552.0805829432552,52.565337297879246,-6713.904964106661,738,False,time expired without intercept,22,-127762060.01582666,67743312.32766424,29377943.176061906,-15.470371636705256,-23.703605950743555,-10.26807880714051
141,11040,369756323.037703,101413573.48966347,23,2201.584493634393,546.3008708887073,52.605489121639664,-5339.9316600354705,714,False,time expired without intercept,23,-127762053.94236203,67743306.45797096,29378232.963571835,-15.485408170262888,-23.69801981025216,-10.273627344331935
