seed,total_steps,final_mars_dist_km,min_mars_dist_km,min_dist_step,final_mass_kg,fuel_consumed_kg,final_rel_vel_km_s,total_reward,missed_thrust_steps,is_intercepted,failure_reason,convergence_step,init_pos_x,init_pos_y,init_pos_z,init_vel_x,init_vel_y,init_vel_z,scenario
45,11040,369481224.7369888,101414156.38621482,23,2198.746637290809,550.9117028994447,52.70426923605968,-5196.19895259753,641,False,time expired without intercept,23,-127761880.46530159,67742706.63732946,29378272.382506605,-15.478515287030966,-23.69600368344077,-10.268924921090719,zavoli-federici
46,11040,369485572.97404903,101414333.93198209,23,2201.823809102886,545.0598269871334,52.582700869402494,-5490.175144561749,793,False,time expired without intercept,23,-127761891.72797498,67743166.82460926,29378170.78014826,-15.479083883380138,-23.701107717584982,-10.277384674497682,zavoli-federici
47,11040,368573168.256953,101413529.45807981,24,2198.2915282722147,545.0379588428036,52.569272292046286,-6070.041037228417,804,False,time expired without intercept,24,-127761932.60823503,67742886.71474144,29377763.648292802,-15.492435148794023,-23.702313785688506,-10.274240283604916,zavoli-federici
48,11040,370535591.2216323,101414122.88413964,24,2209.1088817891764,542.1933678949008,52.75028919444823,-4799.056055136595,786,False,time expired without intercept,24,-127761842.90530652,67743199.74981634,29378286.766636405,-15.475702010193409,-23.694450159935034,-10.275330403607486,zavoli-federici
49,11040,368621934.98297495,101413369.5777057,24,2199.0812369015844,544.9787394459768,52.52995914948553,-5702.346527809866,808,False,time expired without intercept,24,-127761623.3349966,67743208.0040355,29378298.273439504,-15.490331631174248,-23.694660372883497,-10.269692135740966,zavoli-federici
50,11040,370529008.85357594,101413041.84672236,25,2197.197442542724,552.4743017586516,52.73247798397952,-4707.766521125483,619,False,time expired without intercept,25,-127761644.40364899,67742743.00400536,29378405.89490491,-15.489671272722958,-23.68693174785171,-10.27119199758601,zavoli-federici
51,11040,369356614.65689135,101414428.76254621,23,2199.834298185482,543.172026283909,52.65101464559057,-5400.539245446091,822,False,time expired without intercept,23,-127761909.77670757,67742706.82717085,29378258.623698816,-15.476472438251442,-23.69688067310737,-10.275745558783802,zavoli-federici
42,11040,367176590.72659683,101417585.56657402,20,2365.524556564858,383.39304948265135,52.865589523584646,-4319.854587147652,3753,False,time expired without intercept,20,-127761461.28192024,67741822.36789376,29378989.011195805,-15.463923505672176,-23.734281893773076,-10.296280930137247,severe
43,11040,366971942.2602543,101413752.53686483,24,2396.010312513701,351.2395469949397,52.962017277335065,-2080.7760195405544,4160,False,time expired without intercept,24,-127761521.76949333,67743540.53032008,29377653.030618645,-15.500908262462506,-23.73509795422243,-10.250804880360276,severe
44,11040,368908726.9328305,101415355.48554204,24,2334.4121777739488,406.90026347024013,52.71435708777466,-2475.829035211265,3367,False,time expired without intercept,24,-127760320.0362671,67742964.65713964,29378565.31277776,-15.46000555210715,-23.67877631128464,-10.258658209791102,severe
45,11040,370537690.74296606,101414958.22144,23,2376.838257061203,378.1367635095571,52.94894383979785,-1581.0810618640016,3724,False,time expired without intercept,23,-127762223.86420633,67742239.49331784,29378373.85002643,-15.465856748123866,-23.69823116376308,-10.264987664362874,severe
46,11040,363027984.4050991,101415697.03381895,21,2378.170903241419,368.4800050286399,52.419003081544325,-6076.116806150542,3860,False,time expired without intercept,21,-127762268.91489993,67744080.24243708,29377967.440593045,-15.46813113352055,-23.718647300339928,-10.298826677990728,severe
47,11040,363691866.4441778,101412236.73337382,26,2374.6199265255846,361.36853481947037,52.62312449434571,-5484.866698612663,4179,False,time expired without intercept,26,-127762432.4359401,67742959.80296576,29376338.91317121,-15.521536195176092,-23.723471572754022,-10.28624911441967,severe
48,11040,363544774.1255365,101414783.60497634,24,2389.801198510845,370.1055505413865,52.40385693242172,-6656.21703336911,3796,False,time expired without intercept,24,-127762073.62422605,67744211.94326536,29378431.386545625,-15.454603640773637,-23.692017069740135,-10.29060959442994,severe
49,11040,369672228.3578617,101411705.54724988,25,2376.2240400436,361.9558889990831,52.81411958886594,-3235.592213929304,4010,False,time expired without intercept,25,-127761195.34298642,67744244.960142,29378477.41375803,-15.513122124696993,-23.69285792153399,-10.268056522963864,severe
50,11040,371101368.6771031,101410012.3448406,26,2391.6253869802863,363.3898459238403,52.990275029724764,-734.3764126770164,3906,False,time expired without intercept,26,-127761279.61759597,67742384.96002145,29378907.899619654,-15.510480690891836,-23.661943421406832,-10.274055970344042,severe
51,11040,365370545.9675322,101415934.00961818,23,2342.6657121453754,392.3532612627978,52.705330886570636,-4801.904160190706,3725,False,time expired without intercept,23,-127762341.1098303,67742240.25268337,29378318.814795263,-15.457685353005767,-23.701739122429473,-10.292270215135213,severe
